Country,lower_secondary_general_2007_hours,lower_secondary_general_2008_hours,lower_secondary_general_2009_hours,lower_secondary_general_2010_hours,lower_secondary_general_2011_hours,lower_secondary_general_2012_hours,lower_secondary_general_2013_hours,lower_secondary_general_2014_hours,lower_secondary_general_2015_hours,lower_secondary_general_2016_hours,lower_secondary_general_2017_hours,lower_secondary_general_2018_hours,lower_secondary_general_2019_hours,lower_secondary_general_2020_hours,lower_secondary_general_2021_hours,primary_2007_hours,primary_2008_hours,primary_2009_hours,primary_2010_hours,primary_2011_hours,primary_2012_hours,primary_2013_hours,primary_2014_hours,primary_2015_hours,primary_2016_hours,primary_2017_hours,primary_2018_hours,primary_2019_hours,primary_2020_hours,primary_2021_hours,upper_secondary_general_2007_hours,upper_secondary_general_2008_hours,upper_secondary_general_2009_hours,upper_secondary_general_2010_hours,upper_secondary_general_2011_hours,upper_secondary_general_2012_hours,upper_secondary_general_2013_hours,upper_secondary_general_2014_hours,upper_secondary_general_2015_hours,upper_secondary_general_2016_hours,upper_secondary_general_2017_hours,upper_secondary_general_2018_hours,upper_secondary_general_2019_hours,upper_secondary_general_2020_hours,upper_secondary_general_2021_hours
Ireland,734.8,734.8,734.8,734.8,734.8,734.8,734.8,734.8,734.8,730.4,721.6,726.0,704.0,704.0,699.73333,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,915.0,910.0,905.0,905.0,909.33333,900.0,734.8,734.8,734.8,734.8,734.8,734.8,734.8,734.8,734.8,730.4,721.6,726.0,704.0,704.0,699.73333
Israel,579.0,579.0,589.248,597.9989,614.14527,629.19148,643.55187,681.80737,703.67599,698.15577,698.87171,695.6582,694.04122,694.71302,704.13638,731.0,731.0,787.998,819.55312,841.67635,837.83919,839.7828,838.24061,863.61036,848.02609,843.34742,842.54253,834.99298,839.16858,845.80296,524.0,524.0,523.952,521.27445,521.28145,557.74536,569.80573,543.07854,586.65496,589.10348,609.74472,623.27497,622.85238,638.71026,649.56957
Italy,601.2,601.2,619.2,630.0,630.0,615.6,615.6,615.6,615.6,626.4,626.4,617.4,626.4,610.2,608.4,734.8,734.8,756.8,770.0,770.0,752.4,752.4,752.4,752.4,765.6,765.6,754.6,765.6,745.8,743.6,601.2,601.2,619.2,630.0,630.0,615.6,615.6,615.6,615.6,626.4,626.4,617.4,626.4,610.2,608.4
Japan,600.0,603.0,601.5,601.5,602.41502,602.41502,607.85998,611.24527,609.91057,609.91057,609.91057,609.89717,615.46333,615.46333,608.7,705.0,708.525,706.7625,706.7625,731.3595,731.3595,736.2639,742.29885,742.0959,742.0959,742.0959,739.07925,747.1275,747.1275,750.177,498.3,500.3465,500.3465,500.3465,509.717,509.717,513.357,513.357,510.757,510.757,510.757,510.757,510.75788,510.75788,507.48379
Korea,612.0,616.45693,618.2,627.0,620.69221,568.1,556.7,548.34,547.54006,540.45094,533.23146,525.95107,517.30148,513.47041,516.97883,848.0,840.42988,835.56,807.4,812.4071,693.5,666.9,655.5,657.82617,657.20642,671.13441,674.64013,675.60699,679.69641,671.92796,599.3,603.66311,605.0,616.0,609.09561,549.1,549.1,549.67,551.01278,551.87125,550.72526,547.37683,544.95892,539.08739,543.64409
Latvia,882.0,882.0,882.0,882.0,882.0,882.0,825.0,,684.6,718.2,1020.0,620.9,768.0,,768.0,882.0,882.0,882.0,882.0,882.0,882.0,825.0,,684.6,718.2,1020.0,571.6,640.0,,630.0,882.0,882.0,882.0,882.0,882.0,882.0,990.0,,684.6,718.2,1020.0,694.8,726.0,,832.0
Lithuania,,,,,,,,,610.2,612.0,612.0,651.6,859.2,854.4,854.4,,,,,,,,,565.2,576.0,576.0,612.0,835.2,830.4,830.4,,,,,,,,,610.2,603.0,603.0,648.0,859.2,854.4,854.4
Luxembourg,642.4,633.6,633.6,633.6,739.2,739.2,739.2,739.2,739.2,,,,739.2,,739.2,774.4,739.2,739.2,739.2,809.6,809.6,809.6,809.6,809.6,,,,809.6,,809.6,642.4,633.6,633.6,633.6,739.2,739.2,739.2,739.2,739.2,,,,739.2,,739.2
Netherlands,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,720.0,720.0,720.0,930.15,930.15,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,940.0,940.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,720.0,720.0,720.0
New Zealand,,,,,,,840.8,840.4,840.4,840.4,840.4,840.4,840.4,840.4,840.4,,,,,,,921.6,921.6,921.6,921.6,921.6,921.6,921.6,921.6,921.6,,,,,,,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0
Norway,653.6,653.6,653.6,653.6,663.1,663.1,663.1,663.1,663.1,663.1,663.1,663.1,663.1,663.1,663.1,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5,522.5
Poland,,486.0,483.0,497.0,477.9,491.0,491.0,483.3,486.0,480.6,477.9,480.6,475.2,483.3,488.7,,570.0,570.0,586.0,564.0,580.0,580.0,570.15,573.3,567.0,563.85,560.7,554.4,604.125,610.875,,486.0,486.0,494.0,472.5,486.0,483.0,477.9,480.6,475.2,472.5,475.2,469.8,477.9,483.3
Portugal,627.0,627.0,641.66667,634.33333,645.33333,616.0,608.66667,605.0,605.0,605.0,616.0,612.33333,605.0,649.0,667.33333,769.5,769.5,787.5,778.5,792.0,756.0,747.0,742.5,742.5,742.5,778.5,774.0,760.5,796.5,868.5,627.0,627.0,641.66667,634.33333,645.33333,616.0,608.66667,605.0,605.0,605.0,616.0,612.33333,605.0,649.0,667.33333
Slovak Republic,,,645.15,652.05,655.5,634.8,645.15,641.7,645.15,658.95,652.05,649.4,648.6,645.15,645.15,,,832.15,841.05,845.5,818.8,832.15,827.7,832.15,802.2,793.8,783.1,733.2,729.3,729.3,,,617.1,623.7,627.0,607.2,617.1,613.8,617.1,573.0,567.0,573.0,564.0,561.0,561.0
Slovenia,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,620.4,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,620.4,627.0,627.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,564.0,570.0,570.0
Spain,712.8,712.8,712.8,712.8,712.8,712.8,712.8,712.8,712.8,712.8,712.8,712.8,669.48523,669.48523,665.09976,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,871.18652,871.18652,871.31421,692.55,692.55,692.55,692.55,692.55,692.55,692.55,692.55,692.55,692.55,692.55,692.55,669.48523,669.48523,665.09976
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,766.0,762.0,762.0,764.0,765.0,760.0,748.0,748.0,750.0,,750.0,,,,,811.0,810.0,809.0,806.0,810.0,817.0,784.75,784.75,806.25,,806.25,,,,,656.0,659.0,652.0,655.0,656.0,646.0,620.5,620.5,637.5,,637.5
Türkiye,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,502.6,505.4,520.8,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,718.0,722.0,744.0,567.0,567.0,567.0,567.0,567.0,567.0,504.0,504.0,504.0,504.0,504.0,504.0,502.6,505.4,520.8
