Reference area,GDP_PPP_2007,GDP_PPP_2008,GDP_PPP_2009,GDP_PPP_2010,GDP_PPP_2011,GDP_PPP_2012,GDP_PPP_2013,GDP_PPP_2014,GDP_PPP_2015,GDP_PPP_2016,GDP_PPP_2017,GDP_PPP_2018,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021,GDP_PPP_2022,GDP_Education_Exp_2008,GDP_Education_Exp_2009,GDP_Education_Exp_2010,GDP_Education_Exp_2011,GDP_Education_Exp_2012,GDP_Education_Exp_2013,GDP_Education_Exp_2014,GDP_Education_Exp_2015,GDP_Education_Exp_2016,GDP_Education_Exp_2017,GDP_Education_Exp_2018,GDP_Education_Exp_2019,GDP_Education_Exp_2020
Latvia,17275.477109,18631.344752,16557.149355,17345.597965,18626.747774,20500.834599,21848.359368,22968.197149,24134.095624,25804.817819,27661.234916,29832.137821,32209.789734,32734.307952,35599.973274,38521.984165,3.484195,3.617473,3.215414,3.036279,2.761244,3.030377,3.222429,3.220394,3.00567,2.769181,2.67334,2.708777,2.78532
Lithuania,19113.893072,20735.73735,18167.72178,19827.857027,22701.648971,24567.003447,26563.484034,28005.705212,28846.334473,30772.687179,33591.517318,36491.946264,40563.874147,41262.691361,46450.600056,51011.582386,3.231387,3.653911,3.274297,2.885708,2.69228,2.596064,2.474578,2.320374,2.381531,2.256156,2.205877,2.256013,2.531203
Netherlands,44204.210589,46713.179,44936.820525,45307.392096,47004.345499,47653.204285,49623.330638,49751.324397,50956.451344,53163.284899,56038.531947,58818.011031,62344.802006,62594.830591,69323.505265,77284.537382,2.947598,3.282035,3.275288,3.192121,3.214088,3.27888,3.147402,3.145448,3.105544,3.030706,3.015791,2.95676,3.1251941
New Zealand,29273.951597,29748.931565,30574.237506,31127.321554,32639.0226,32917.669788,36085.485818,37089.225918,37255.411712,39709.384706,41996.799105,42312.890889,44862.748114,45221.877621,48171.435475,51947.523994,3.665404,3.828811,3.808402,3.647843,3.542715,3.496278,3.37549,3.354798,3.291601,3.187708,3.113526,3.130449,3.395983
Norway,56183.130324,62075.513764,55615.474922,58222.617563,62461.20278,65768.753269,67372.928181,66335.459647,60721.583813,59263.430471,64589.163172,70252.735449,70938.225099,67116.532811,89214.420416,124255.730793,4.613819,4.99576,4.871195,4.739211,4.608714,4.69368,4.509178,4.624124,4.602994,4.654998,4.634337,4.586946,4.651876
Portugal,25738.953427,26665.829666,26458.120577,27295.106753,26782.25651,26434.55939,27921.48826,28713.307665,29540.258688,31494.521541,32843.839011,34725.227331,37616.202115,35662.771078,38690.794777,44527.906378,3.263295,3.824104,3.739345,3.559069,3.544756,3.770219,3.59064,3.394184,3.358174,3.548018,3.314437,3.294551,3.379765
Slovak Republic,21146.680248,23597.312871,22931.888237,25204.322798,26203.003452,27029.454343,28077.468286,29108.581679,30156.073348,29867.939446,30250.447061,31514.226043,33991.335035,35317.081382,38484.005116,40987.404733,2.137078,2.511318,2.591972,2.36477,2.312025,2.408981,2.467584,2.514857,2.423355,2.464157,2.492518,2.713441,3.0407269
Slovenia,27458.927558,29451.362317,27187.908038,27579.29337,28715.673819,28792.167923,29639.918271,30574.654323,31339.762298,33581.830353,36189.974505,38656.349114,42360.50795,41759.657287,46281.902311,51228.847256,3.312609,3.520156,3.489394,3.381269,3.342652,3.27375,3.15374,2.953491,2.908733,2.896781,2.856194,2.827735,3.104476
Spain,32530.747305,33328.860097,32198.294782,31818.062213,32019.985381,31885.975798,32629.838139,33781.105344,35257.434902,37637.842903,39877.2679,41073.672093,44071.522632,39339.972989,44155.300349,49667.771055,2.801687,3.025461,2.966595,2.898799,2.769775,2.692402,2.651892,2.660966,2.65648,2.629531,2.61133,2.646791,3.082788
Sweden,40823.629148,41913.687143,40081.835192,41961.165096,44334.461731,45217.074504,46105.097397,46836.959518,48772.048226,50289.792031,51474.108635,53122.462047,57046.427857,57489.277663,63124.604539,66715.507914,3.794719,3.920606,3.718517,3.615736,3.649807,3.651597,3.62883,3.594253,3.772745,3.864597,3.971727,3.936347,4.0542369
United Kingdom,35525.293924,36734.676772,35031.900055,36491.346386,37208.971903,38336.604981,39947.538393,41266.848849,42515.27463,44085.222213,46113.025546,47212.173489,50064.959661,48230.082098,52905.605259,57382.930561,2.993188,3.184743,3.401168,3.709077,3.689777,4.029587,4.189626,3.843116,3.690457,3.624579,3.394155,3.439377,3.700649
