Country,lower_secondary_education_2013,lower_secondary_education_2014,lower_secondary_education_2015,lower_secondary_education_2016,lower_secondary_education_2017,lower_secondary_education_2018,lower_secondary_education_2019,lower_secondary_education_2020,lower_secondary_education_2021,lower_secondary_education_2022,primary_education_2013,primary_education_2014,primary_education_2015,primary_education_2016,primary_education_2017,primary_education_2018,primary_education_2019,primary_education_2020,primary_education_2021,primary_education_2022,upper_secondary_education_2013,upper_secondary_education_2014,upper_secondary_education_2015,upper_secondary_education_2016,upper_secondary_education_2017,upper_secondary_education_2018,upper_secondary_education_2019,upper_secondary_education_2020,upper_secondary_education_2021,upper_secondary_education_2022
Lithuania,7.617687,7.420367,7.313195,7.31111,7.332912,7.634715,9.658271,10.02235,9.986915,10.2771,10.18927,10.23306,10.25615,10.46997,10.61914,11.22044,14.45149,14.20201,14.15346,14.51836,8.035807,8.090545,8.08107,7.659402,7.985154,8.034787,9.41639,9.159637,9.517291,10.16207
Luxembourg,11.16352,10.92442,10.99213,10.72548,10.87273,10.7178,,9.71518,10.11208,9.535469,8.819115,8.943715,10.74002,10.52018,9.010466,9.049302,8.965557,9.964712,8.992248,8.035584,8.598567,9.762639,10.85479,9.693295,9.870783,9.467915,6.55499,6.150188,9.525274,8.953196
Netherlands,16.00558,16.17384,16.04444,16.09748,16.11964,16.13165,16.01768,15.86093,15.7357,15.33803,16.57708,16.55155,16.55379,16.77363,16.6502,16.41353,16.35505,16.27647,16.24516,15.90363,18.60238,19.17532,18.0326,17.94689,18.03046,17.63501,17.6909,17.46214,17.38557,16.76182
New Zealand,16.36335,16.24433,16.26153,16.36344,16.56346,16.48554,16.21592,16.50654,16.58173,16.33158,16.38809,16.35964,16.45148,16.57095,16.90294,16.83306,16.37561,16.42199,16.36802,15.99149,13.32823,13.11344,12.76664,12.75423,12.69125,12.54354,12.36802,12.47119,12.34716,12.23156
Norway,9.8422,9.721949,9.548272,9.127143,9.415325,8.903349,9.718942,8.697315,7.989294,8.010754,10.34097,10.28994,10.28025,10.14829,10.15372,10.09475,10.36682,10.13738,10.0416,9.928383,10.33769,10.33205,10.27969,10.19455,10.10271,10.22811,10.74871,10.4569,10.53941,10.46735
Portugal,10.42765,10.0812,9.993747,9.820789,9.81032,9.401684,9.065352,8.993629,8.993629,8.851282,13.20458,13.9592,13.70373,13.12088,12.67507,12.42094,12.31367,11.94223,11.94223,11.98214,8.396905,8.906466,9.697735,9.572124,9.201776,9.019558,9.237743,10.51182,10.51182,9.252333
Slovak Republic,12.48251,12.47065,11.59125,12.33737,12.41315,12.54586,12.67013,12.78628,12.87846,15.29006,16.93966,17.15618,17.1558,17.06902,17.39943,17.52375,17.3534,17.45836,17.34971,13.59977,13.58123,13.52406,13.53686,13.50455,13.55725,13.48991,13.37248,13.36463,13.32135,13.66988
Slovenia,8.208479,8.26023,8.479075,6.083198,6.039173,,,,,,15.99531,15.86179,15.88833,14.28177,14.44965,10.34097,10.58083,10.29029,10.27211,10.29875,13.49173,13.68705,13.43522,14.17524,14.05391,13.7322,14.0012,13.57208,13.42031,13.77738
Spain,11.57723,11.79352,11.90731,11.73324,11.75095,11.8787,11.73366,11.52446,10.78212,10.94241,13.75612,13.5443,13.65516,13.56407,13.64564,13.6074,13.58349,13.27373,12.21293,12.23837,11.04757,11.28536,11.12424,10.69677,10.66825,10.50101,10.35961,10.36001,10.3211,10.1165
Sweden,11.95958,12.21688,12.26239,12.39731,12.18398,11.05603,11.17778,11.34949,11.29383,11.29955,12.67475,12.73863,12.83113,13.05485,12.82672,13.64605,13.04343,13.08844,13.03741,12.89314,12.78952,13.80946,14.40193,13.67843,13.31306,13.56671,13.02034,13.14138,13.38202,13.61907
United Kingdom,18.4792,14.96049,14.26939,14.80055,15.21983,15.85624,16.18053,16.65076,16.6056,16.87011,20.67347,19.62179,18.35806,16.94602,16.89465,19.8935,19.8813,19.61903,19.21614,19.41647,18.51074,16.34851,26.09848,16.46851,17.16222,18.00902,18.16538,18.54071,18.38945,
