Country,GDP_PPP_2007,GDP_PPP_2008,GDP_PPP_2009,GDP_PPP_2010,GDP_PPP_2011,GDP_PPP_2012,GDP_PPP_2013,GDP_PPP_2014,GDP_PPP_2015,GDP_PPP_2016,GDP_PPP_2017,GDP_PPP_2018,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021,GDP_PPP_2022,GDP_Education_Exp_2008,GDP_Education_Exp_2009,GDP_Education_Exp_2010,GDP_Education_Exp_2011,GDP_Education_Exp_2012,GDP_Education_Exp_2013,GDP_Education_Exp_2014,GDP_Education_Exp_2015,GDP_Education_Exp_2016,GDP_Education_Exp_2017,GDP_Education_Exp_2018,GDP_Education_Exp_2019,GDP_Education_Exp_2020,ict_access_pct_pop_2012,ict_access_pct_pop_2013,ict_access_pct_pop_2014,ict_access_pct_pop_2015,ict_access_pct_pop_2016,ict_access_pct_pop_2017,ict_access_pct_pop_2018,ict_access_pct_pop_2019,ict_access_pct_pop_2020,ict_access_pct_pop_2021,ict_access_pct_pop_2022,gini_coef_2007,gini_coef_2008,gini_coef_2009,gini_coef_2010,gini_coef_2011,gini_coef_2012,gini_coef_2013,gini_coef_2014,gini_coef_2015,gini_coef_2016,gini_coef_2017,gini_coef_2018,gini_coef_2019,gini_coef_2020,gini_coef_2021,gini_coef_2022,math_2006_Mean,math_2006_SE,math_2009_Mean,math_2009_SE,math_2012_Mean,math_2012_SE,math_2015_Mean,math_2015_SE,math_2018_Mean,math_2018_SE,math_2022_Mean,math_2022_SE,Treatment,Pandemic_Deaths_2020,COVID_Death_Percent_Population,reading_2006_Mean,reading_2006_SE,reading_2009_Mean,reading_2009_SE,reading_2012_Mean,reading_2012_SE,reading_2015_Mean,reading_2015_SE,reading_2018_Mean,reading_2018_SE,reading_2022_Mean,reading_2022_SE,science_2006_Mean,science_2006_SE,science_2009_Mean,science_2009_SE,science_2012_Mean,science_2012_SE,science_2015_Mean,science_2015_SE,science_2018_Mean,science_2018_SE,science_2022_Mean,science_2022_SE,teaching_hours_2013,teaching_hours_2014,teaching_hours_2015,teaching_hours_2016,teaching_hours_2017,teaching_hours_2018,teaching_hours_2019,teaching_hours_2020,teaching_hours_2021,teaching_hours_2022,student_teacher_ratio_2013,student_teacher_ratio_2014,student_teacher_ratio_2015,student_teacher_ratio_2016,student_teacher_ratio_2017,student_teacher_ratio_2018,student_teacher_ratio_2019,student_teacher_ratio_2020,student_teacher_ratio_2021,student_teacher_ratio_2022
Ireland,46770.887645,44105.364527,41435.299202,43220.666781,45541.043362,46747.472207,48878.6586,52700.504344,71682.507465,73170.443403,80556.528096,86433.669095,92189.163692,97903.151353,116741.566785,135774.001321,3.872247,4.317081,4.27456,4.14523,4.126357,3.816136,3.499581,2.315025,2.307619,2.228469,2.164812,2.114504,2.1495969,97.3841,98.4352,99.1806,99.2916,98.6112,96.0606,99.709,99.8539,,,,0.304,0.295,0.312,0.298,0.307,0.31,0.312,0.298,0.298,0.309,0.295,0.292,0.293,0.282,0.291,,503.0,2.4,501.0,2.8,487.0,2.5,501,2.2,504,2.1,500,2.2,Yes,0.5,0.010204081632653,527.0,3.2,515.0,2.6,517.0,3.5,496.0,3.0,523,2.6,521,2.5,508.0,3.2,508.0,3.3,522,2.5,503,2.4,496.0,2.2,504,2.3,30.307650000000002,30.27347,30.075580000000002,29.75907,29.060209999999998,28.14601,27.971490000000003,26.69848,26.65336,25.70156,15.153825000000001,15.136735,15.037790000000001,14.879535,14.530104999999999,14.073005,13.985745000000001,13.34924,13.32668,12.85078
Italy,34108.797065,35422.320586,34483.698297,34977.98625,36392.307585,36281.118449,36459.286713,36665.709207,37384.405169,40482.591491,42142.314165,43583.419042,46661.895024,44435.606105,50465.056628,56812.030711,3.080864,3.158257,2.988701,2.820094,2.767916,2.823629,2.741861,2.774977,2.584027,2.769357,2.926598,2.761412,3.012342,91.963,90.9815,91.8613,93.0503,93.7397,93.5574,93.4665,94.367,93.6532,96.9279,97.893,0.313,0.317,0.315,0.327,0.327,0.33,0.325,0.326,0.333,0.327,0.334,0.33,0.325,0.331,0.33,,466.0,3.1,462.0,2.3,483.0,1.9,485,2.0,490,2.8,487,2.8,Yes,36.5,0.0604304635761589,487.0,2.9,476.0,3.0,469.0,2.4,486.0,1.6,490,2.0,485,2.7,475.0,2.0,489.0,1.8,494,1.9,481,2.5,468.0,2.4,477,3.2,24.02512,36.50701,36.36072,21.93385,32.95658,32.86581,32.65854,32.15287,31.826950000000004,31.263754,12.01256,12.169003333333334,12.12024,10.966925,10.985526666666667,10.95527,10.886180000000001,10.717623333333334,10.608983333333335,10.421251333333332
Japan,35021.732224,35278.749846,33550.689549,35342.824721,36215.006272,37628.675989,39436.682585,39559.763471,40908.781547,40642.704531,41531.221619,42264.585123,42835.817421,42625.001229,44613.088167,47185.509153,,,2.650224,2.580729,2.613127,2.54827,2.576469,2.522271,2.416633,2.393908,2.348373,2.394398,2.492445,,,,,,,,,,,,,,,,,,,,,,,0.334,,,0.338,,534.0,4.0,523.0,3.3,529.0,3.3,536,3.6,532,3.0,527,2.5,Yes,47.8,0.0377865612648221,522.0,5.2,498.0,3.9,498.0,3.6,520.0,3.5,538,3.7,516,3.2,531.0,3.4,539.0,3.4,547,3.6,538,3.0,529.0,2.6,547,2.8,43.02832,42.83211,42.47164,41.85087,41.448249999999994,40.8945,40.32942,39.77345,39.31529,39.15809,14.342773333333334,14.27737,14.157213333333333,13.95029,13.816083333333331,13.6315,13.44314,13.257816666666665,13.105096666666666,13.052696666666668
Korea,30261.823597,31210.873543,30731.306528,33100.819609,33944.005129,35061.450514,35844.149337,37031.923567,39794.154766,41672.467561,43155.835282,45511.131505,46511.059739,47881.712884,51879.91954,55490.115648,,,,,,,,3.046242,2.968813,3.031041,3.128792,3.385564,3.3287151,100.0,99.92948005,99.93748817,99.98572616,100.0,99.77386817,99.96173994,99.95403155,99.93675916,99.92826216,99.89066651,,,,,0.388,0.385,0.372,0.363,0.352,0.355,0.354,0.345,0.339,0.328,0.329,0.324,525.0,2.4,534.0,3.1,556.0,3.8,539,3.5,536,3.9,517,3.5,Yes,5.0,0.0096899224806201,525.0,2.4,534.0,3.1,556.0,3.8,539.0,3.5,536,3.9,517,3.5,522.0,3.4,538.0,3.4,538,3.7,516,3.1,519.0,2.8,528,3.6,49.89698,47.98264,46.54463,44.88999,43.60622,42.21408,41.00458999999999,40.31219,40.17295,39.36413,16.632326666666668,15.994213333333335,15.514876666666666,14.96333,14.535406666666667,14.07136,13.668196666666665,13.437396666666666,13.390983333333333,13.121376666666668
Latvia,17275.477109,18631.344752,16557.149355,17345.597965,18626.747774,20500.834599,21848.359368,22968.197149,24134.095624,25804.817819,27661.234916,29832.137821,32209.789734,32734.307952,35599.973274,38521.984165,3.484195,3.617473,3.215414,3.036279,2.761244,3.030377,3.222429,3.220394,3.00567,2.769181,2.67334,2.708777,2.78532,99.6794,99.6119,100.0,99.1127,100.0,98.6853,99.3972,100.0,97.3236,100.0,99.5105,0.375,0.375,0.354,0.346,0.351,0.346,0.351,0.349,0.346,0.346,0.355,0.351,0.344,0.355,0.343,0.343,483.0,3.7,486.0,3.0,482.0,3.1,491,2.8,482,1.9,496,2.0,Yes,0.7,0.0368421052631579,458.0,5.3,491.0,3.7,479.0,3.7,484.0,3.0,489,2.4,488,1.8,490.0,3.0,494.0,3.1,502,2.8,490,1.6,487.0,1.8,494,2.3,29.160674,28.771886000000002,28.605254000000002,28.978929,30.888249000000002,31.228004,32.008556999999996,33.052133999999995,33.632522,34.347338,9.720224666666667,9.590628666666667,9.535084666666668,9.659643,10.296083000000001,10.409334666666666,10.669519,11.017377999999999,11.210840666666668,11.449112666666666
Lithuania,19113.893072,20735.73735,18167.72178,19827.857027,22701.648971,24567.003447,26563.484034,28005.705212,28846.334473,30772.687179,33591.517318,36491.946264,40563.874147,41262.691361,46450.600056,51011.582386,3.231387,3.653911,3.274297,2.885708,2.69228,2.596064,2.474578,2.320374,2.381531,2.256156,2.205877,2.256013,2.531203,99.5372,99.854,99.7431,99.1283,100.0,99.7705,100.0,99.502,99.5416,100.0,100.0,0.337,0.357,0.365,0.329,0.321,0.35,0.351,0.38,0.372,0.378,0.374,0.361,0.357,0.357,0.366,,,,,,470.0,3.0,468,2.4,477,2.5,472,2.7,Yes,1.0,0.0357142857142857,,,,,470.0,3.0,468.0,2.4,477,2.5,472,2.7,488.0,2.8,491.0,2.9,496,2.6,475,2.7,482.0,1.6,484,2.3,25.842764000000003,25.743972,25.650415000000002,25.440482,25.937206,26.889941999999998,33.526151,33.383997,33.657666,34.95753,8.614254666666668,8.581324,8.550138333333335,8.480160666666666,8.645735333333333,8.963313999999999,11.175383666666667,11.127999,11.219222,11.65251
Netherlands,44204.210589,46713.179,44936.820525,45307.392096,47004.345499,47653.204285,49623.330638,49751.324397,50956.451344,53163.284899,56038.531947,58818.011031,62344.802006,62594.830591,69323.505265,77284.537382,2.947598,3.282035,3.275288,3.192121,3.214088,3.27888,3.147402,3.145448,3.105544,3.030706,3.015791,2.95676,3.1251941,100.0,100.0,94.3021,97.8282,95.4561,99.6963,95.604,98.0867,94.6913,96.967,94.2799,,,,,0.294,0.293,0.287,0.305,0.305,0.292,0.298,0.295,0.312,0.295,0.295,0.288,,,513.0,2.9,507.0,2.9,508,5.1,511,3.5,503,2.4,No,20.0,0.1162790697674418,,,513.0,2.9,507.0,2.9,508.0,5.1,511,3.5,503,2.4,525.0,2.7,522.0,5.4,522,3.5,509,2.3,503.0,2.8,488,4.1,51.18504,51.90071,50.63083,50.818,50.80030000000001,50.18019,50.063629999999996,49.599540000000005,49.36643,48.003479999999996,17.06168,17.300236666666667,16.876943333333333,16.939333333333334,16.933433333333337,16.72673,16.687876666666664,16.53318,16.455476666666666,16.00116
New Zealand,29273.951597,29748.931565,30574.237506,31127.321554,32639.0226,32917.669788,36085.485818,37089.225918,37255.411712,39709.384706,41996.799105,42312.890889,44862.748114,45221.877621,48171.435475,51947.523994,3.665404,3.828811,3.808402,3.647843,3.542715,3.496278,3.37549,3.354798,3.291601,3.187708,3.113526,3.130449,3.395983,,,,,,,,,,,,0.331,0.328,0.329,0.335,0.329,0.335,0.341,0.341,0.325,0.333,0.335,0.33,0.326,0.32,,,529.0,2.8,522.0,2.5,521.0,3.0,521,2.4,512,2.4,509,2.4,Yes,0.4,0.0081632653061224,529.0,2.8,522.0,2.5,521.0,3.0,521.0,2.4,512,2.4,509,2.4,530.0,2.7,532.0,2.6,516,2.1,513,2.4,508.0,2.1,504,2.2,46.07967,45.71741,45.47965,45.68862,46.157650000000004,45.86214,44.95955,45.39972,45.296910000000004,44.55463,15.35989,15.239136666666667,15.159883333333333,15.22954,15.385883333333334,15.287379999999999,14.986516666666667,15.13324,15.098970000000001,14.851543333333334
Norway,56183.130324,62075.513764,55615.474922,58222.617563,62461.20278,65768.753269,67372.928181,66335.459647,60721.583813,59263.430471,64589.163172,70252.735449,70938.225099,67116.532811,89214.420416,124255.730793,4.613819,4.99576,4.871195,4.739211,4.608714,4.69368,4.509178,4.624124,4.602994,4.654998,4.634337,4.586946,4.651876,100.0,100.0,100.0,98.8189,100.0,100.0,100.0,99.0157,100.0,100.0,100.0,,0.25,0.245,0.249,0.25,0.253,0.252,0.257,0.272,0.262,0.262,0.262,0.261,0.263,0.285,0.262,505.0,2.8,500.0,2.8,484.0,3.2,503,2.6,504,3.2,513,2.5,No,0.6,0.0113207547169811,505.0,2.8,500.0,2.8,484.0,3.2,503.0,2.6,504,3.2,513,2.5,487.0,3.1,500.0,2.6,495,3.1,498,2.3,490.0,2.3,478,2.4,30.52086,30.343939,30.108212,29.469983,29.671754999999997,29.226208999999997,30.834472,29.291595,28.570304,28.406487,10.17362,10.114646333333333,10.036070666666667,9.823327666666666,9.890585,9.742069666666666,10.278157333333334,9.763865000000001,9.523434666666667,9.468829
Portugal,25738.953427,26665.829666,26458.120577,27295.106753,26782.25651,26434.55939,27921.48826,28713.307665,29540.258688,31494.521541,32843.839011,34725.227331,37616.202115,35662.771078,38690.794777,44527.906378,3.263295,3.824104,3.739345,3.559069,3.544756,3.770219,3.59064,3.394184,3.358174,3.548018,3.314437,3.294551,3.379765,99.4766,99.3738,99.4625,99.5082,99.6217,99.4854,99.4775,99.5922,99.7908,99.8217,99.813,0.36,0.354,0.336,0.341,0.337,0.337,0.341,0.338,0.336,0.331,0.32,0.317,0.31,0.327,0.313,,470.0,4.5,478.0,3.7,472.0,3.6,489,3.1,488,3.8,498,2.7,Yes,6.8,0.0660194174757281,470.0,4.5,478.0,3.7,472.0,3.6,489.0,3.1,488,3.8,498,2.7,474.0,3.0,493.0,2.9,489,3.7,501,2.4,492.0,2.8,484,2.6,32.029135,32.946866,33.395212,32.513793,31.687166,30.842182,30.616765,31.447679,31.447679,30.085755,10.676378333333332,10.982288666666667,11.131737333333334,10.837931,10.562388666666667,10.280727333333333,10.205588333333333,10.482559666666667,10.482559666666667,10.028585
