STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,AUT,Austria,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2022,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2021,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,LUX,Luxembourg,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2012,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,AUT,Austria,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2014,,99.1802,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,AUT,Austria,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2015,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,AUT,Austria,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2016,,99.8318,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,FIN,Finland,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2018,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,FIN,Finland,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2019,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,FIN,Finland,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2020,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,FIN,Finland,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2021,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.0),ICT Access and Usage by Individuals,I,FIN,Finland,A,Annual,C5B_I,Individuals using the Internet - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,_T,Total,_T,Total,STUD,Students,2022,,100,,A,Normal value,,,,,0,Units,,,2,Two,STUD,Students aged 16-74
