Country,teaching_hours_lower_secondary_education_2013,teaching_hours_lower_secondary_education_2014,teaching_hours_lower_secondary_education_2015,teaching_hours_lower_secondary_education_2016,teaching_hours_lower_secondary_education_2017,teaching_hours_lower_secondary_education_2018,teaching_hours_lower_secondary_education_2019,teaching_hours_lower_secondary_education_2020,teaching_hours_lower_secondary_education_2021,teaching_hours_lower_secondary_education_2022,teaching_hours_primary_education_2013,teaching_hours_primary_education_2014,teaching_hours_primary_education_2015,teaching_hours_primary_education_2016,teaching_hours_primary_education_2017,teaching_hours_primary_education_2018,teaching_hours_primary_education_2019,teaching_hours_primary_education_2020,teaching_hours_primary_education_2021,teaching_hours_primary_education_2022,teaching_hours_upper_secondary_education_2013,teaching_hours_upper_secondary_education_2014,teaching_hours_upper_secondary_education_2015,teaching_hours_upper_secondary_education_2016,teaching_hours_upper_secondary_education_2017,teaching_hours_upper_secondary_education_2018,teaching_hours_upper_secondary_education_2019,teaching_hours_upper_secondary_education_2020,teaching_hours_upper_secondary_education_2021,teaching_hours_upper_secondary_education_2022,student_teacher_ratio_lower_secondary_education_2013,student_teacher_ratio_lower_secondary_education_2014,student_teacher_ratio_lower_secondary_education_2015,student_teacher_ratio_lower_secondary_education_2016,student_teacher_ratio_lower_secondary_education_2017,student_teacher_ratio_lower_secondary_education_2018,student_teacher_ratio_lower_secondary_education_2019,student_teacher_ratio_lower_secondary_education_2020,student_teacher_ratio_lower_secondary_education_2021,student_teacher_ratio_lower_secondary_education_2022,student_teacher_ratio_primary_education_2013,student_teacher_ratio_primary_education_2014,student_teacher_ratio_primary_education_2015,student_teacher_ratio_primary_education_2016,student_teacher_ratio_primary_education_2017,student_teacher_ratio_primary_education_2018,student_teacher_ratio_primary_education_2019,student_teacher_ratio_primary_education_2020,student_teacher_ratio_primary_education_2021,student_teacher_ratio_primary_education_2022,student_teacher_ratio_upper_secondary_education_2013,student_teacher_ratio_upper_secondary_education_2014,student_teacher_ratio_upper_secondary_education_2015,student_teacher_ratio_upper_secondary_education_2016,student_teacher_ratio_upper_secondary_education_2017,student_teacher_ratio_upper_secondary_education_2018,student_teacher_ratio_upper_secondary_education_2019,student_teacher_ratio_upper_secondary_education_2020,student_teacher_ratio_upper_secondary_education_2021,student_teacher_ratio_upper_secondary_education_2022,GDP_PPP_2007,GDP_PPP_2008,GDP_PPP_2009,GDP_PPP_2010,GDP_PPP_2011,GDP_PPP_2012,GDP_PPP_2013,GDP_PPP_2014,GDP_PPP_2015,GDP_PPP_2016,GDP_PPP_2017,GDP_PPP_2018,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021,GDP_PPP_2022,GDP_Education_Exp_2008,GDP_Education_Exp_2009,GDP_Education_Exp_2010,GDP_Education_Exp_2011,GDP_Education_Exp_2012,GDP_Education_Exp_2013,GDP_Education_Exp_2014,GDP_Education_Exp_2015,GDP_Education_Exp_2016,GDP_Education_Exp_2017,GDP_Education_Exp_2018,GDP_Education_Exp_2019,GDP_Education_Exp_2020,ict_access_pct_pop_2012,ict_access_pct_pop_2013,ict_access_pct_pop_2014,ict_access_pct_pop_2015,ict_access_pct_pop_2016,ict_access_pct_pop_2017,ict_access_pct_pop_2018,ict_access_pct_pop_2019,ict_access_pct_pop_2020,ict_access_pct_pop_2021,ict_access_pct_pop_2022,gini_coef_2007,gini_coef_2008,gini_coef_2009,gini_coef_2010,gini_coef_2011,gini_coef_2012,gini_coef_2013,gini_coef_2014,gini_coef_2015,gini_coef_2016,gini_coef_2017,gini_coef_2018,gini_coef_2019,gini_coef_2020,gini_coef_2021,gini_coef_2022,math_2006_Mean,math_2006_SE,math_2009_Mean,math_2009_SE,math_2012_Mean,math_2012_SE,math_2015_Mean,math_2015_SE,math_2018_Mean,math_2018_SE,math_2022_Mean,math_2022_SE,Treatment,Pandemic_Deaths_2020,COVID_Death_Percent_Population,reading_2006_Mean,reading_2006_SE,reading_2009_Mean,reading_2009_SE,reading_2012_Mean,reading_2012_SE,reading_2015_Mean,reading_2015_SE,reading_2018_Mean,reading_2018_SE,reading_2022_Mean,reading_2022_SE,science_2006_Mean,science_2006_SE,science_2009_Mean,science_2009_SE,science_2012_Mean,science_2012_SE,science_2015_Mean,science_2015_SE,science_2018_Mean,science_2018_SE,science_2022_Mean,science_2022_SE
Ireland,,,,,,,,,,,16.36121,16.33718,16.20492,16.00474,15.65264,15.25364,15.13596,14.28018,14.25246,13.44848,13.94644,13.93629,13.87066,13.75433,13.40757,12.89237,12.83553,12.4183,12.4009,12.25308,,,,,,,,,,,16.36121,16.33718,16.20492,16.00474,15.65264,15.25364,15.13596,14.28018,14.25246,13.44848,13.94644,13.93629,13.87066,13.75433,13.40757,12.89237,12.83553,12.4183,12.4009,12.25308,46770.887645,44105.364527,41435.299202,43220.666781,45541.043362,46747.472207,48878.6586,52700.504344,71682.507465,73170.443403,80556.528096,86433.669095,92189.163692,97903.151353,116741.566785,135774.001321,3.872247,4.317081,4.27456,4.14523,4.126357,3.816136,3.499581,2.315025,2.307619,2.228469,2.164812,2.114504,2.1495969,97.3841,98.4352,99.1806,99.2916,98.6112,96.0606,99.709,99.8539,,,,0.304,0.295,0.312,0.298,0.307,0.31,0.312,0.298,0.298,0.309,0.295,0.292,0.293,0.282,0.291,,503.0,2.4,501.0,2.8,487.0,2.5,501,2.2,504,2.1,500,2.2,Yes,0.5,0.010204081632653,527.0,3.2,515.0,2.6,517.0,3.5,496.0,3.0,523,2.6,521,2.5,508.0,3.2,508.0,3.3,522,2.5,503,2.4,496.0,2.2,504,2.3
Italy,11.6796,11.63072,11.53559,,10.95373,10.9654,10.92989,10.83046,10.71887,10.53141,12.34552,12.38194,12.3566,11.56006,11.65297,11.52724,11.43884,11.18657,10.97671,10.76123,,12.49435,12.46853,10.37379,10.34988,10.37317,10.28981,10.13584,10.13137,9.971114,11.6796,11.63072,11.53559,,10.95373,10.9654,10.92989,10.83046,10.71887,10.53141,12.34552,12.38194,12.3566,11.56006,11.65297,11.52724,11.43884,11.18657,10.97671,10.76123,,12.49435,12.46853,10.37379,10.34988,10.37317,10.28981,10.13584,10.13137,9.971114,34108.797065,35422.320586,34483.698297,34977.98625,36392.307585,36281.118449,36459.286713,36665.709207,37384.405169,40482.591491,42142.314165,43583.419042,46661.895024,44435.606105,50465.056628,56812.030711,3.080864,3.158257,2.988701,2.820094,2.767916,2.823629,2.741861,2.774977,2.584027,2.769357,2.926598,2.761412,3.012342,91.963,90.9815,91.8613,93.0503,93.7397,93.5574,93.4665,94.367,93.6532,96.9279,97.893,0.313,0.317,0.315,0.327,0.327,0.33,0.325,0.326,0.333,0.327,0.334,0.33,0.325,0.331,0.33,,466.0,3.1,462.0,2.3,483.0,1.9,485,2.0,490,2.8,487,2.8,Yes,36.5,0.0604304635761589,487.0,2.9,476.0,3.0,469.0,2.4,486.0,1.6,490,2.0,485,2.7,475.0,2.0,489.0,1.8,494,1.9,481,2.5,468.0,2.4,477,3.2
Japan,13.90625,13.75395,13.60374,13.38538,13.25277,13.04605,12.85522,12.72057,12.66082,12.69172,17.40201,17.14321,16.90647,16.6353,16.42703,16.17419,15.90366,15.6194,15.34042,15.26526,11.72006,11.93495,11.96143,11.83019,11.76845,11.67426,11.57054,11.43348,11.31405,11.20111,13.90625,13.75395,13.60374,13.38538,13.25277,13.04605,12.85522,12.72057,12.66082,12.69172,17.40201,17.14321,16.90647,16.6353,16.42703,16.17419,15.90366,15.6194,15.34042,15.26526,11.72006,11.93495,11.96143,11.83019,11.76845,11.67426,11.57054,11.43348,11.31405,11.20111,35021.732224,35278.749846,33550.689549,35342.824721,36215.006272,37628.675989,39436.682585,39559.763471,40908.781547,40642.704531,41531.221619,42264.585123,42835.817421,42625.001229,44613.088167,47185.509153,,,2.650224,2.580729,2.613127,2.54827,2.576469,2.522271,2.416633,2.393908,2.348373,2.394398,2.492445,,,,,,,,,,,,,,,,,,,,,,,0.334,,,0.338,,534.0,4.0,523.0,3.3,529.0,3.3,536,3.6,532,3.0,527,2.5,Yes,47.8,0.0377865612648221,522.0,5.2,498.0,3.9,498.0,3.6,520.0,3.5,538,3.7,516,3.2,531.0,3.4,539.0,3.4,547,3.6,538,3.0,529.0,2.6,547,2.8
Korea,17.50606,16.58683,15.66677,14.66334,13.99439,13.45922,13.02408,13.11098,13.34746,13.08434,17.30619,16.86203,16.78742,16.46559,16.42071,16.50627,16.61525,16.30517,16.10499,15.82367,15.08473,14.53378,14.09044,13.76106,13.19112,12.24859,11.36526,10.89604,10.7205,10.45612,17.50606,16.58683,15.66677,14.66334,13.99439,13.45922,13.02408,13.11098,13.34746,13.08434,17.30619,16.86203,16.78742,16.46559,16.42071,16.50627,16.61525,16.30517,16.10499,15.82367,15.08473,14.53378,14.09044,13.76106,13.19112,12.24859,11.36526,10.89604,10.7205,10.45612,30261.823597,31210.873543,30731.306528,33100.819609,33944.005129,35061.450514,35844.149337,37031.923567,39794.154766,41672.467561,43155.835282,45511.131505,46511.059739,47881.712884,51879.91954,55490.115648,,,,,,,,3.046242,2.968813,3.031041,3.128792,3.385564,3.3287151,100.0,99.92948005,99.93748817,99.98572616,100.0,99.77386817,99.96173994,99.95403155,99.93675916,99.92826216,99.89066651,,,,,0.388,0.385,0.372,0.363,0.352,0.355,0.354,0.345,0.339,0.328,0.329,0.324,525.0,2.4,534.0,3.1,556.0,3.8,539,3.5,536,3.9,517,3.5,Yes,5.0,0.0096899224806201,525.0,2.4,534.0,3.1,556.0,3.8,539.0,3.5,536,3.9,517,3.5,522.0,3.4,538.0,3.4,538,3.7,516,3.1,519.0,2.8,528,3.6
Latvia,7.804254,7.638386,7.723928,7.820302,8.393889,8.564924,8.939357,9.432004,9.565052,9.281078,11.16222,11.09112,11.13296,11.3295,12.07549,11.99657,11.96349,12.109,12.31228,12.49697,10.1942,10.04238,9.748366,9.829127,10.41887,10.66651,11.10571,11.51113,11.75519,12.56929,7.804254,7.638386,7.723928,7.820302,8.393889,8.564924,8.939357,9.432004,9.565052,9.281078,11.16222,11.09112,11.13296,11.3295,12.07549,11.99657,11.96349,12.109,12.31228,12.49697,10.1942,10.04238,9.748366,9.829127,10.41887,10.66651,11.10571,11.51113,11.75519,12.56929,17275.477109,18631.344752,16557.149355,17345.597965,18626.747774,20500.834599,21848.359368,22968.197149,24134.095624,25804.817819,27661.234916,29832.137821,32209.789734,32734.307952,35599.973274,38521.984165,3.484195,3.617473,3.215414,3.036279,2.761244,3.030377,3.222429,3.220394,3.00567,2.769181,2.67334,2.708777,2.78532,99.6794,99.6119,100.0,99.1127,100.0,98.6853,99.3972,100.0,97.3236,100.0,99.5105,0.375,0.375,0.354,0.346,0.351,0.346,0.351,0.349,0.346,0.346,0.355,0.351,0.344,0.355,0.343,0.343,483.0,3.7,486.0,3.0,482.0,3.1,491,2.8,482,1.9,496,2.0,Yes,0.7,0.0368421052631579,458.0,5.3,491.0,3.7,479.0,3.7,484.0,3.0,489,2.4,488,1.8,490.0,3.0,494.0,3.1,502,2.8,490,1.6,487.0,1.8,494,2.3
Lithuania,7.617687,7.420367,7.313195,7.31111,7.332912,7.634715,9.658271,10.02235,9.986915,10.2771,10.18927,10.23306,10.25615,10.46997,10.61914,11.22044,14.45149,14.20201,14.15346,14.51836,8.035807,8.090545,8.08107,7.659402,7.985154,8.034787,9.41639,9.159637,9.517291,10.16207,7.617687,7.420367,7.313195,7.31111,7.332912,7.634715,9.658271,10.02235,9.986915,10.2771,10.18927,10.23306,10.25615,10.46997,10.61914,11.22044,14.45149,14.20201,14.15346,14.51836,8.035807,8.090545,8.08107,7.659402,7.985154,8.034787,9.41639,9.159637,9.517291,10.16207,19113.893072,20735.73735,18167.72178,19827.857027,22701.648971,24567.003447,26563.484034,28005.705212,28846.334473,30772.687179,33591.517318,36491.946264,40563.874147,41262.691361,46450.600056,51011.582386,3.231387,3.653911,3.274297,2.885708,2.69228,2.596064,2.474578,2.320374,2.381531,2.256156,2.205877,2.256013,2.531203,99.5372,99.854,99.7431,99.1283,100.0,99.7705,100.0,99.502,99.5416,100.0,100.0,0.337,0.357,0.365,0.329,0.321,0.35,0.351,0.38,0.372,0.378,0.374,0.361,0.357,0.357,0.366,,,,,,470.0,3.0,468,2.4,477,2.5,472,2.7,Yes,1.0,0.0357142857142857,,,,,470.0,3.0,468.0,2.4,477,2.5,472,2.7,488.0,2.8,491.0,2.9,496,2.6,475,2.7,482.0,1.6,484,2.3
Netherlands,16.00558,16.17384,16.04444,16.09748,16.11964,16.13165,16.01768,15.86093,15.7357,15.33803,16.57708,16.55155,16.55379,16.77363,16.6502,16.41353,16.35505,16.27647,16.24516,15.90363,18.60238,19.17532,18.0326,17.94689,18.03046,17.63501,17.6909,17.46214,17.38557,16.76182,16.00558,16.17384,16.04444,16.09748,16.11964,16.13165,16.01768,15.86093,15.7357,15.33803,16.57708,16.55155,16.55379,16.77363,16.6502,16.41353,16.35505,16.27647,16.24516,15.90363,18.60238,19.17532,18.0326,17.94689,18.03046,17.63501,17.6909,17.46214,17.38557,16.76182,44204.210589,46713.179,44936.820525,45307.392096,47004.345499,47653.204285,49623.330638,49751.324397,50956.451344,53163.284899,56038.531947,58818.011031,62344.802006,62594.830591,69323.505265,77284.537382,2.947598,3.282035,3.275288,3.192121,3.214088,3.27888,3.147402,3.145448,3.105544,3.030706,3.015791,2.95676,3.1251941,100.0,100.0,94.3021,97.8282,95.4561,99.6963,95.604,98.0867,94.6913,96.967,94.2799,,,,,0.294,0.293,0.287,0.305,0.305,0.292,0.298,0.295,0.312,0.295,0.295,0.288,,,513.0,2.9,507.0,2.9,508,5.1,511,3.5,503,2.4,No,20.0,0.1162790697674418,,,513.0,2.9,507.0,2.9,508.0,5.1,511,3.5,503,2.4,525.0,2.7,522.0,5.4,522,3.5,509,2.3,503.0,2.8,488,4.1
New Zealand,16.36335,16.24433,16.26153,16.36344,16.56346,16.48554,16.21592,16.50654,16.58173,16.33158,16.38809,16.35964,16.45148,16.57095,16.90294,16.83306,16.37561,16.42199,16.36802,15.99149,13.32823,13.11344,12.76664,12.75423,12.69125,12.54354,12.36802,12.47119,12.34716,12.23156,16.36335,16.24433,16.26153,16.36344,16.56346,16.48554,16.21592,16.50654,16.58173,16.33158,16.38809,16.35964,16.45148,16.57095,16.90294,16.83306,16.37561,16.42199,16.36802,15.99149,13.32823,13.11344,12.76664,12.75423,12.69125,12.54354,12.36802,12.47119,12.34716,12.23156,29273.951597,29748.931565,30574.237506,31127.321554,32639.0226,32917.669788,36085.485818,37089.225918,37255.411712,39709.384706,41996.799105,42312.890889,44862.748114,45221.877621,48171.435475,51947.523994,3.665404,3.828811,3.808402,3.647843,3.542715,3.496278,3.37549,3.354798,3.291601,3.187708,3.113526,3.130449,3.395983,,,,,,,,,,,,0.331,0.328,0.329,0.335,0.329,0.335,0.341,0.341,0.325,0.333,0.335,0.33,0.326,0.32,,,529.0,2.8,522.0,2.5,521.0,3.0,521,2.4,512,2.4,509,2.4,Yes,0.4,0.0081632653061224,529.0,2.8,522.0,2.5,521.0,3.0,521.0,2.4,512,2.4,509,2.4,530.0,2.7,532.0,2.6,516,2.1,513,2.4,508.0,2.1,504,2.2
Norway,9.8422,9.721949,9.548272,9.127143,9.415325,8.903349,9.718942,8.697315,7.989294,8.010754,10.34097,10.28994,10.28025,10.14829,10.15372,10.09475,10.36682,10.13738,10.0416,9.928383,10.33769,10.33205,10.27969,10.19455,10.10271,10.22811,10.74871,10.4569,10.53941,10.46735,9.8422,9.721949,9.548272,9.127143,9.415325,8.903349,9.718942,8.697315,7.989294,8.010754,10.34097,10.28994,10.28025,10.14829,10.15372,10.09475,10.36682,10.13738,10.0416,9.928383,10.33769,10.33205,10.27969,10.19455,10.10271,10.22811,10.74871,10.4569,10.53941,10.46735,56183.130324,62075.513764,55615.474922,58222.617563,62461.20278,65768.753269,67372.928181,66335.459647,60721.583813,59263.430471,64589.163172,70252.735449,70938.225099,67116.532811,89214.420416,124255.730793,4.613819,4.99576,4.871195,4.739211,4.608714,4.69368,4.509178,4.624124,4.602994,4.654998,4.634337,4.586946,4.651876,100.0,100.0,100.0,98.8189,100.0,100.0,100.0,99.0157,100.0,100.0,100.0,,0.25,0.245,0.249,0.25,0.253,0.252,0.257,0.272,0.262,0.262,0.262,0.261,0.263,0.285,0.262,505.0,2.8,500.0,2.8,484.0,3.2,503,2.6,504,3.2,513,2.5,No,0.6,0.0113207547169811,505.0,2.8,500.0,2.8,484.0,3.2,503.0,2.6,504,3.2,513,2.5,487.0,3.1,500.0,2.6,495,3.1,498,2.3,490.0,2.3,478,2.4
Portugal,10.42765,10.0812,9.993747,9.820789,9.81032,9.401684,9.065352,8.993629,8.993629,8.851282,13.20458,13.9592,13.70373,13.12088,12.67507,12.42094,12.31367,11.94223,11.94223,11.98214,8.396905,8.906466,9.697735,9.572124,9.201776,9.019558,9.237743,10.51182,10.51182,9.252333,10.42765,10.0812,9.993747,9.820789,9.81032,9.401684,9.065352,8.993629,8.993629,8.851282,13.20458,13.9592,13.70373,13.12088,12.67507,12.42094,12.31367,11.94223,11.94223,11.98214,8.396905,8.906466,9.697735,9.572124,9.201776,9.019558,9.237743,10.51182,10.51182,9.252333,25738.953427,26665.829666,26458.120577,27295.106753,26782.25651,26434.55939,27921.48826,28713.307665,29540.258688,31494.521541,32843.839011,34725.227331,37616.202115,35662.771078,38690.794777,44527.906378,3.263295,3.824104,3.739345,3.559069,3.544756,3.770219,3.59064,3.394184,3.358174,3.548018,3.314437,3.294551,3.379765,99.4766,99.3738,99.4625,99.5082,99.6217,99.4854,99.4775,99.5922,99.7908,99.8217,99.813,0.36,0.354,0.336,0.341,0.337,0.337,0.341,0.338,0.336,0.331,0.32,0.317,0.31,0.327,0.313,,470.0,4.5,478.0,3.7,472.0,3.6,489,3.1,488,3.8,498,2.7,Yes,6.8,0.0660194174757281,470.0,4.5,478.0,3.7,472.0,3.6,489.0,3.1,488,3.8,498,2.7,474.0,3.0,493.0,2.9,489,3.7,501,2.4,492.0,2.8,484,2.6
Slovak Republic,12.48251,12.47065,11.59125,12.33737,12.41315,12.54586,12.67013,12.78628,12.87846,15.29006,16.93966,17.15618,17.1558,17.06902,17.39943,17.52375,17.3534,17.45836,17.34971,13.59977,13.58123,13.52406,13.53686,13.50455,13.55725,13.48991,13.37248,13.36463,13.32135,13.66988,12.48251,12.47065,11.59125,12.33737,12.41315,12.54586,12.67013,12.78628,12.87846,15.29006,16.93966,17.15618,17.1558,17.06902,17.39943,17.52375,17.3534,17.45836,17.34971,13.59977,13.58123,13.52406,13.53686,13.50455,13.55725,13.48991,13.37248,13.36463,13.32135,13.66988,21146.680248,23597.312871,22931.888237,25204.322798,26203.003452,27029.454343,28077.468286,29108.581679,30156.073348,29867.939446,30250.447061,31514.226043,33991.335035,35317.081382,38484.005116,40987.404733,2.137078,2.511318,2.591972,2.36477,2.312025,2.408981,2.467584,2.514857,2.423355,2.464157,2.492518,2.713441,3.0407269,99.3566,99.8343,99.4647,100.0,99.7591,97.7847,100.0,99.5549,100.0,98.9933,99.1894,0.246,0.257,0.267,0.265,0.262,0.251,0.27,0.247,0.25,0.241,0.22,0.236,0.222,0.229,0.217,,,,469.0,3.1,466.0,3.1,477,2.5,463,4.2,453,2.8,No,2.8,0.0518518518518518,,,469.0,3.1,466.0,3.1,477.0,2.5,463,4.2,453,2.8,488.0,2.6,490.0,3.0,471,3.6,461,2.6,464.0,2.3,462,3.0
Slovenia,8.208479,8.26023,8.479075,6.083198,6.039173,,,,,,15.99531,15.86179,15.88833,14.28177,14.44965,10.34097,10.58083,10.29029,10.27211,10.29875,13.49173,13.68705,13.43522,14.17524,14.05391,13.7322,14.0012,13.57208,13.42031,13.77738,8.208479,8.26023,8.479075,6.083198,6.039173,,,,,,15.99531,15.86179,15.88833,14.28177,14.44965,10.34097,10.58083,10.29029,10.27211,10.29875,13.49173,13.68705,13.43522,14.17524,14.05391,13.7322,14.0012,13.57208,13.42031,13.77738,27458.927558,29451.362317,27187.908038,27579.29337,28715.673819,28792.167923,29639.918271,30574.654323,31339.762298,33581.830353,36189.974505,38656.349114,42360.50795,41759.657287,46281.902311,51228.847256,3.312609,3.520156,3.489394,3.381269,3.342652,3.27375,3.15374,2.953491,2.908733,2.896781,2.856194,2.827735,3.104476,98.4068,100.0,99.0622,100.0,100.0,98.7342,100.0,100.0,99.2708,99.0065,100.0,0.238,0.234,0.245,0.245,0.243,0.249,0.254,0.251,0.25,0.244,0.243,0.249,0.246,0.238,0.242,,,,,,494.0,1.0,483,1.0,481,1.2,505,1.5,Yes,1.2,0.0571428571428571,,,,,494.0,1.0,483.0,1.0,481,1.2,505,1.5,519.0,1.1,512.0,1.1,514,1.3,513,1.3,507.0,1.3,500,1.4
Spain,11.57723,11.79352,11.90731,11.73324,11.75095,11.8787,11.73366,11.52446,10.78212,10.94241,13.75612,13.5443,13.65516,13.56407,13.64564,13.6074,13.58349,13.27373,12.21293,12.23837,11.04757,11.28536,11.12424,10.69677,10.66825,10.50101,10.35961,10.36001,10.3211,10.1165,11.57723,11.79352,11.90731,11.73324,11.75095,11.8787,11.73366,11.52446,10.78212,10.94241,13.75612,13.5443,13.65516,13.56407,13.64564,13.6074,13.58349,13.27373,12.21293,12.23837,11.04757,11.28536,11.12424,10.69677,10.66825,10.50101,10.35961,10.36001,10.3211,10.1165,32530.747305,33328.860097,32198.294782,31818.062213,32019.985381,31885.975798,32629.838139,33781.105344,35257.434902,37637.842903,39877.2679,41073.672093,44071.522632,39339.972989,44155.300349,49667.771055,2.801687,3.025461,2.966595,2.898799,2.769775,2.692402,2.651892,2.660966,2.65648,2.629531,2.61133,2.646791,3.082788,96.9311,99.221,98.9507,98.2456,99.4138,99.6513,99.3753,99.5828,100.0,100.0,99.5474,0.313,0.327,0.333,0.339,0.341,0.334,0.345,0.343,0.344,0.341,0.333,0.33,0.32,0.329,0.32,,493.0,2.7,481.0,2.6,461.0,2.2,481,2.0,488,1.9,496,2.4,Yes,75.0,0.1605995717344753,493.0,2.7,481.0,2.6,461.0,2.2,481.0,2.0,488,1.9,496,2.4,488.0,2.6,488.0,2.1,496,1.8,493,2.1,,,485,1.6
Sweden,11.95958,12.21688,12.26239,12.39731,12.18398,11.05603,11.17778,11.34949,11.29383,11.29955,12.67475,12.73863,12.83113,13.05485,12.82672,13.64605,13.04343,13.08844,13.03741,12.89314,12.78952,13.80946,14.40193,13.67843,13.31306,13.56671,13.02034,13.14138,13.38202,13.61907,11.95958,12.21688,12.26239,12.39731,12.18398,11.05603,11.17778,11.34949,11.29383,11.29955,12.67475,12.73863,12.83113,13.05485,12.82672,13.64605,13.04343,13.08844,13.03741,12.89314,12.78952,13.80946,14.40193,13.67843,13.31306,13.56671,13.02034,13.14138,13.38202,13.61907,40823.629148,41913.687143,40081.835192,41961.165096,44334.461731,45217.074504,46105.097397,46836.959518,48772.048226,50289.792031,51474.108635,53122.462047,57046.427857,57489.277663,63124.604539,66715.507914,3.794719,3.920606,3.718517,3.615736,3.649807,3.651597,3.62883,3.594253,3.772745,3.864597,3.971727,3.936347,4.0542369,98.1854,100.0,96.0824,98.2401,90.9693,96.947,94.3314,100.0,98.5926,99.6199,96.9291,,,,,,,0.267,0.272,0.276,0.28,0.282,0.273,0.277,0.276,0.286,0.29,516.0,2.2,514.0,2.4,507.0,3.4,497,2.9,483,3.0,500,3.5,No,6.2,0.0607843137254901,516.0,2.2,514.0,2.4,507.0,3.4,497.0,2.9,483,3.0,500,3.5,503.0,2.4,495.0,2.7,485,3.0,493,3.6,499.0,3.1,494,2.4
United Kingdom,18.4792,14.96049,14.26939,14.80055,15.21983,15.85624,16.18053,16.65076,16.6056,16.87011,20.67347,19.62179,18.35806,16.94602,16.89465,19.8935,19.8813,19.61903,19.21614,19.41647,18.51074,16.34851,26.09848,16.46851,17.16222,18.00902,18.16538,18.54071,18.38945,,18.4792,14.96049,14.26939,14.80055,15.21983,15.85624,16.18053,16.65076,16.6056,16.87011,20.67347,19.62179,18.35806,16.94602,16.89465,19.8935,19.8813,19.61903,19.21614,19.41647,18.51074,16.34851,26.09848,16.46851,17.16222,18.00902,18.16538,18.54071,18.38945,,35525.293924,36734.676772,35031.900055,36491.346386,37208.971903,38336.604981,39947.538393,41266.848849,42515.27463,44085.222213,46113.025546,47212.173489,50064.959661,48230.082098,52905.605259,57382.930561,2.993188,3.184743,3.401168,3.709077,3.689777,4.029587,4.189626,3.843116,3.690457,3.624579,3.394155,3.439377,3.700649,99.1262,99.2964,99.2819,99.2466,98.4139,97.5003,100.0,100.0,100.0,,,0.373,0.369,0.374,0.351,0.354,0.351,0.358,0.356,0.36,0.351,0.357,0.366,0.366,0.355,0.354,,,,,,495.0,2.3,494,2.3,499,3.5,498,2.8,Yes,128.5,0.1932330827067669,,,,,495.0,2.3,494.0,2.3,499,3.5,498,2.8,515.0,2.3,514.0,2.5,514,3.4,509,2.6,505.0,2.6,500,2.4
